url,Title,Category,Categories,Authors,Price NIS,Price USD,Year,Synopsis,Synopsis Length,StarRating,NumberOfReviews,Language,Format,Dimensions,Dimensions unit,Weight,Weight Unit,ISBN
https://www.bookdelivery.com/il-en/book-berserk-deluxe-volume-1/9781506711980/p/51598673,Berserk Deluxe Volume 1,Arts,"Graphic novels and manga art, Manga: seinen, Graphic novels / comics: horror, Graphic novels / comics: fantasy, esotericism","Jason Deangelis, Kentaro Miura",163.96,54.47,2019.0,"""Berserk Deluxe Volume 1 "" Have you got the Guts? Kentaro Miura's Berserk has outraged, horrified, and delighted manga and anime fanatics since 1989, creating an international legion of hardcore devotees and inspiring a plethora of TV series, feature films, and video games. And now the badass champion of adult fantasy manga is presented in an oversized 7 x 10 deluxe hardcover edition, nearly 700 pages amassing the first three Berserk volumes, with following volumes to come to serve up the entire series in handsome bookshelf collections. No Guts, no glory! Have you got the Guts? Kentaro Miura's Berserk has outraged, horrified, and delighted manga and anime fanatics since 1989, creating an international legion of hardcore devotees and inspiring a plethora of TV series, feature films, and video games. And now the badass champion of adult fantasy manga is presented in an oversized 7 x 10 deluxe hardcover edition, nearly 700 pages amassing the first three Berserk volumes, with following volumes to come to serve up the entire series in handsome bookshelf collections. No Guts, no glory!",1096,4.91,87,English,Hardcover,"26.2, 18.8, 5.1",cm,1.84.,kg,9781506711980
https://www.bookdelivery.com/il-en/book-armonia-ilustrada/9786310100616/p/64625434,Armonía Ilustrada (in Spanish),Arts,Music theory and musicology,Brian Callipari,170.44,56.62,2025.0,"""Armonía Ilustrada (in Spanish)"" Armonía Ilustrada es una guía visual para explorar la armonía musical desde una mirada lúdica, libre y creativa. A través de gráficos llenos de color, el libro invita a desprenderse del concepto rígido de tonalidad y descubrir caminos que sin los diagramas sería difícil imaginar. No es un manual académico: es una herramienta para disfrutar con la música, encontrar ideas para componer canciones y perderse (o encontrarse) en laberintos armónicos. Incluye textos explicativos de teoría musical, reflexiones filosóficas y propuestas para seguir jugando de forma autodidacta. No contiene partituras, solo cifrados de acordes. Si sabés tocar acordes mayores, menores, disminuidos, aumentados, y podés seguir flechas... Este libro es para vos.",773,5.0,4,Spanish,Paperback,"21, 30",cm,,gr,9786310100616
https://www.bookdelivery.com/il-en/book-berserk-deluxe-volume-2/9781506711997/p/51895752,Berserk Deluxe Volume 2,Arts,"Graphic novels and manga art, Manga and asian style comics, Graphic novels / comics: horror, Graphic novels / comics: fantasy, esotericism","Duane Johnson, Kentaro Miura",163.96,54.47,2019.0,"""Berserk Deluxe Volume 2 "" The reigning king of adult fantasy manga now in deluxe 7x10 hardcover editions! Born in tragedy, raised in abuse and neglect, young Guts is hardened into a warrior of fearsome prowess and fearless will, drawing the attention of the charismatic Griffith, commander of the elite mercenary legion, the Band of the Hawk. This crossroad will take Guts to fame and glory . . . and to damnation! Kentaro Miura's Berserk has cast its enormous shadow for three decades, creating an international legion of acolytes and inspiring a parade of TV series, feature films, and video games. And now celebrating its thirtieth anniversary, the entire Berserk series is being released in handsome oversized bookshelf format, each collecting three volumes of the original manga.",785,4.83,35,English,Hardcover,"26.2, 18.8, 5.1",cm,1.89.,kg,9781506711997
https://www.bookdelivery.com/il-en/book-ghibli-best-stories-original-edition/9784111790173/p/52020417,Ghibli Best Stories: Original Edition,Arts,"Musical art, orchestral music, Opera, Scores, lyrics and libretti",Joe Hisaishi,71.34,23.7,2014.0,"""Ghibli Best Stories: Original Edition "" (Piano Collection). This collection features Joe Hisaishi's music from Studio Ghibli films directed by Hayao Miyazaki (Castle in the Sky, Princess Mononoke, My Neighbor Totoro, Howl's Moving Castle, and others), arranged for piano. It is the only edition approved by the composer. CONTENTS: One Summer's Day from Spirited Away Kiki's Delivery Service from Kiki's Delivery Service Confessions in the Moonlight from Castle in the Sky The Wind Forest from My Neighbor Totoro The Road to the Valley from Nausicaa of the Valley of the Wind Fantasia (for Nausicaa) from Nausicaa of the Valley of the Wind il porco rosso from Porco Rosso Ponyo on the Cliff by the Sea from Ponyo on the Cliff by the Sea Mother Sea from Ponyo on the Cliff by the Sea Merry-Go-Round from Howl's Moving Castle Princess Mononoke from Princess Mononoke Ashitaka and San from Princess Mononoke My Neighbor Totoro from My Neighbor Totoro",947,,0,English,Paperback,"30.0, 22.6, 1.0",cm,0.32.,kg,9784111790173
https://www.bookdelivery.com/il-en/book-adult-piano-adventures-all-in-one-piano-course-book-1-book-with-media-online/9781616773021/p/3763481,Adult Piano Adventures All-In-One Piano Course Book 1: Book With Media Online,Arts,Musical techniques / music manuals / music education,"Randall y Nancy Faber, Randall Faber",81.08,26.94,2002.0,"""Adult Piano Adventures All-In-One Piano Course Book 1: Book With Media Online "" (Faber Piano Adventures ). Adult Piano Adventures enables the adult beginner to play music for pleasure while developing musical understanding. This comprehensive ""All-In-One"" book includes lessons, technique, and theory in a single volume for ease of use. Book 1 presents the fundamentals of music notation, chord playing, and musical form. The redesigned layout improves information hierarchy, putting focus on key concepts and step-by-step learning. Online support is now included, with over two hours of instructional videos and audio accompaniment tracks that inspire rhythmic vitality and artistic expression. Songs include: Amazing Grace * The Can-Can * Catch a Falling Star * Danny Boy * Eine Kleine Nachtmusik * The Entertainer * Greensleeves * The Lion Sleeps Tonight * and more! View Helpful Introductory Videos Here",908,5.0,4,English,Spiral,"29.5, 22.9, 1.3",cm,0.60.1616773022,kg,9781616773021
https://www.bookdelivery.com/il-en/book-stranger-things-the-ultimate-pop-up-book/9781647221263/p/54265739,Stranger Things: The Ultimate Pop-Up Book,Arts,"Art history, Cinema: styles and genres, Film, television or radio genres: science fiction, fantasy and horror, Popular culture","Matthew Reinhart, Simon Arizpe, Kyle Lambert",283.0,94.02,2022.0,"""Stranger Things: The Ultimate Pop-Up Book"" Embark on an explosive 3D journey through the world of Netflix’s hit series Stranger Things with the only officially licensed Stranger Things pop-up book. Netflix’s Emmy Award–winning series Stranger Things has captivated the imaginations of millions of viewers all around the world. Now fans can experience the series like never before with stunning, pop-off-the-page re-creations of iconic moments from the show. Inside, readers will adventure alongside Eleven and Mike Wheeler, crack the Russian code with Steve Harrington at Scoops Ahoy, face off against the terrifying Demogorgon, and much more. Featuring five richly detailed spreads packed with jaw-dropping pops, Stranger Things: The Ultimate Pop-Up Book is an explosive, must-have guide to Hawkins, Indiana, the Upside Down, and beyond. INTERACTIVE JOURNEY: Readers adventure alongside Eleven and Mike Wheeler, crack the Russian code with Steve Harrington at Scoops Ahoy, face off against the terrifying Demogorgon, and much more. EXPLOSIVE VISUALS: Features five richly detailed spreads packed with jaw-dropping, pop-off-the-page recreations of iconic moments from the show. GORGEOUS ILLUSTRATIONS: Stunning original artwork by renowned Stranger Things key art illustrator Kyle Lambert depicts beloved characters and familiar settings from Hawkins, Indiana, and the Upside Down. IMMERSIVE FORMAT: Dynamic 360-format allows participation from all sides, while interactive flaps and pull tabs reveal hidden surprises throughout the book. MASTER PAPER ENGINEERS: Designed by paper engineer Simon Arizpe with creative direction from Matthew Reinhart. COMPLETE YOUR STRANGER THINGS COLLECTION: Discover more striking original artwork from Hawkins, Indiana with Stranger Things Tarot Deck and Guidebook, also available!",1817,,0,English,Hardcover,"28.9, 22.6, 8.3",cm,1.25.,kg,9781647221263
https://www.bookdelivery.com/il-en/book-jojo-s-bizarre-adventure-part-7-steel-ball-run-vol-2-2/9781974755172/p/64090960,"Jojo's Bizarre Adventure: Part 7--Steel Ball Run, Vol. 2 (2)",Arts,"Graphic novels and manga art, Manga and asian style comics",Hirohiko Araki,78.78,26.17,2025.0,"""Jojo's Bizarre Adventure: Part 7--Steel Ball Run, Vol. 2 (2)"" A multigenerational tale of the heroic Joestar family and their never-ending battle against evil! The legendary Shonen Jump series is now available in deluxe hardcover editions featuring color pages! JoJo’s Bizarre Adventure is a groundbreaking manga famous for its outlandish characters, wild humor, and frenetic battles. Gyro leads the race at the end of the first stage—but it’s too soon to celebrate just yet. Three competitors have turned up dead, and the famous cowboy Mountain Tim has just been deputized to find the culprits. Following the trail of horseshoe tracks, he sets his sights on Johnny and Gyro. But as the three men collide in the hostile Arizona desert, it quickly becomes clear that the second stage of this race may just be their last!",820,,0,English,Hardcover,"14.61, 3.56, 20.96",cm,,gr,9781974755172
https://www.bookdelivery.com/il-en/book-the-creative-act-a-way-of-being/9780593652886/p/54480492,The Creative Act: A way of Being,Arts,"Music, Memory strengthening and thinking techniques, Mind, body and spirit: thought and practice",Rick Rubin,97.33,32.34,,"""The Creative Act: A way of Being "" The #1 New York Times bestseller. From the legendary music producer, a master at helping people connect with the wellsprings of their creativity, comes a beautifully crafted book many years in the making that offers that same deep wisdom to all of us. ""A gorgeous and inspiring work of art on creation, creativity, the work of the artist. It will gladden the hearts of writers and artists everywhere, and get them working again with a new sense of meaning and direction. A stunning accomplishment."" --Anne Lamott ""I set out to write a book about what to do to make a great work of art. Instead, it revealed itself to be a book on how to be."" --Rick Rubin Many famed music producers are known for a particular sound that has its day. Rick Rubin is known for something else: creating a space where artists of all different genres and traditions can home in on who they really are and what they really offer. He has made a practice of helping people transcend their self-imposed expectations in order to reconnect with a state of innocence from which the surprising becomes inevitable. Over the years, as he has thought deeply about where creativity comes from and where it doesn't, he has learned that being an artist isn't about your specific output, it's about your relationship to the world. Creativity has a place in everyone's life, and everyone can make that place larger. In fact, there are few more important responsibilities. The Creative Act is a beautiful and generous course of study that illuminates the path of the artist as a road we all can follow. It distills the wisdom gleaned from a lifetime's work into a luminous reading experience that puts the power to create moments--and lifetimes--of exhilaration and transcendence within closer reach for all of us.",1810,4.83,18,English,Hardcover,"21.6, 15.7, 3.3",cm,0.61.,kg,9780593652886
https://www.bookdelivery.com/il-en/book-sneaker-freaker-the-ultimate-sneaker-book-40th-ed/9783836597982/p/56854743,Sneaker Freaker. the Ultimate Sneaker Book. 40th Ed.,Arts,Fashion and textile design: accessories,Simon Wood,95.01,31.56,,"""Sneaker Freaker. the Ultimate Sneaker Book. 40th Ed."" Back in 2002, Simon ""Woody"" Wood was dreaming up schemes to get free sneakers. Two weeks later, he was the proud owner of Sneaker Freaker and his life was never the same.  From its early roots as a punk-style fanzine to today's super-slick print and online operations, the fiercely independent publication has documented every collab, custom, limited edition, retro reissue, Quickstrike, Hyperstrike, and Tier Zero sneaker released over the last 20 years.  Woody's original premise that Sneaker Freaker would be ""funny and serious, meaningful and pointless at the same time"" has certainly been vindicated in The Ultimate Sneaker Book. With more than 500 pages jam-packed with insider knowledge and his own irreverent observations, the insane historical detail and otaku-level minutiae is beyond obsessive.  Traversing 100 years of history, each chapter paints a rollicking picture of the sneaker industry's evolution. Air Max, Air Force, Adi Dassler, Converse, Dapper Dan, Dee Brown, and Michael Jordan--along with obscure treasures like Troop, Airwalk, and Vision Street Wear--are all exhaustively documented.  This is a definitive source of knowledge. This is... The Ultimate Sneaker Book!",1246,4.0,4,English,Hardcover,"15.6, 21.7",cm,,gr,9783836597982
https://www.bookdelivery.com/il-en/book-moonwalk/9780307716989/p/2754152,Moonwalk,Arts,"Composers and songwriters, Musicians, singers, bands and groups, Biography: arts and entertainment",Michael Jackson,92.64,30.78,2009.0,"""Moonwalk "" In this #1 New York Times bestseller, Michael Jackson tells the story of his life, in his words.   In this intimate and often moving personal account of Michael Jackson's public and private life, he recalls a childhood that was both harsh and joyful but always formidable. Michael and his brothers played amateur music shows and seamy Chicago strip joints until Motown's corporate image makers turned the Jackson 5 into worldwide superstars. He talks about the happy prankster days of his youth, traveling with his brothers, and of his sometimes difficult relationships with his family over the years. He speaks candidly about the inspiration behind his music, his mesmerizing dance moves, and the compulsive drive to create that has made him one of the biggest stars in the music business and a legend in his own time. Jackson also shares his personal feelings about some of his most public friends...friends like Diana Ross, Berry Gordy, Quincy Jones, Paul McCartney, Fred Astaire, Marlon Brando, and Katharine Hepburn. He talks openly about the crushing isolation of his fame, of his first love, of his plastic surgery, and of his wholly exceptional career and the often bizarre and unfair rumors that have surrounded it.  Illustrated with rare photographs from Jackson family albums and Michael's personal photographic archives, as well as a drawing done by Michael exclusively for this book, Moonwalk is a memorable journey to the very heart and soul of a modern musical genius.",1495,4.91,11,English,Hardcover,"23.1, 16.0, 3.0",cm,0.57.0307716988,kg,9780307716989
